test_selector,class_name,newly_covered_lines,upgraded_to_full_lines
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,416-422;439-447;452-458,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.ArrayInitializerExpr,52-53;65-68;73;84;89-90;93-97,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.ArrayCreationExpr,66-67;82-87;92;103;108;119;122-126;131-132;135-139;144;149-150;153-157,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,126,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitArrayCreationExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.type.UnknownType,52-53;60-62;67;78;81,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBinaryExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBinaryExpr_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,475-482;610-615,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBinaryExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.BinaryExpr$Operator,49-68;72-74,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBinaryExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.BooleanLiteralExpr,47-48;60-63;68;83;92-93,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBinaryExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.BinaryExpr,117-118;130-135;151;156;161;166-167;170-174;179-180;183-185;190-191;194-198,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockComment_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.comments.BlockComment,51-52;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockComment_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,96-101,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockComment_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.NodeList,79;103-105,78
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockStmt_fromRecordInitializer_returnsClonedNode,com.github.javaparser.ast.body.RecordDeclaration,109;119;170-176;202-203;206-210;215-216;219-223;365-366;369-373;383-384,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockStmt_fromRecordInitializer_returnsClonedNode,com.github.javaparser.ast.nodeTypes.NodeWithMembers,308-311,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBlockStmt_fromRecordInitializer_returnsClonedNode,com.github.javaparser.ast.body.InitializerDeclaration,59-60;113-115,110
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBreakStmt_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;101-102;104;107;110;113;117;125-126;607-610;774-777,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBreakStmt_withObject_returnsEqualButNotSame,com.github.javaparser.ast.stmt.BreakStmt,68-69;81-84;89;100;111;114-118,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBreakStmt_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,908-914,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitBreakStmt_withObject_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCharLiteralExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCharLiteralExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.expr.CharLiteralExpr,54-55;71-73;79,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCharLiteralExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,590-595,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCharLiteralExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.utils.Utils,75-76;88,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCharLiteralExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.expr.LiteralStringValueExpr,52-55;59;64-65;68-70,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitClassExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,73-81;499-505,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitClassExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.expr.ClassExpr,57-58;65-68;84;89-90;93-97,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitClassExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.NodeList,66-68;79;339-340,78
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitClassExpr_withBlockCommentListContext_returnsClonedNode,com.github.javaparser.ast.type.TypeParameter,71-72;93-97;102;118;129;134-135;138-142;147-148;151-155;160-161,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCompactConstructorDeclaration_withNullContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,1343-1355,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitCompactConstructorDeclaration_withNullContext_returnsClonedNode,com.github.javaparser.ast.body.CompactConstructorDeclaration,88;96;143-150;166;177-178;181-185;190;195-196;199-203;208;213-214;217-221;226;231-232;235-239;244;249-250;253-257,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;101-102;104;107;110;113;117;125-126;474-479;512-515;552-555,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.ConditionalExpr,54-55;67-72;77;88;93;98;103-104;107-111;116-117;120-124;129-130;133-137,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.StringLiteralExpr,51-52;69-71;76,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,510-518;560-565;610-615,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.LiteralStringValueExpr,52-55;59;64-65;68-70,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitConditionalExpr_withObject_returnsEqualButNotSame,com.github.javaparser.ast.expr.BooleanLiteralExpr,47-48;60-63;68;83;92-93,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.expr.StringLiteralExpr,51-52;69-71;76,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.comments.BlockComment,46-47;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,523-529;560-565,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.expr.LiteralStringValueExpr,52-55;59;64-65;68-70,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitEnclosedExpr_withBlockComment_returnsClonedNode,com.github.javaparser.ast.expr.EnclosedExpr,49-50;62-65;81;92-93;96-100,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83-84;86;89;92;97;101-102;104;107;110;113;117;121;125-126;685-691,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.comments.BlockComment,46-47;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,788-797,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,126,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExplicitConstructorInvocation_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.stmt.ExplicitConstructorInvocationStmt,72-73;99-105;110;121;126;131;136-137;140-144;155-156;167;170-172;177;188-189,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExpressionStmt_withObject_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExpressionStmt_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,610-615;871-877,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExpressionStmt_withObject_returnsClonedNode,com.github.javaparser.ast.expr.BooleanLiteralExpr,47-48;60-63;68;83;92-93,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitExpressionStmt_withObject_returnsClonedNode,com.github.javaparser.ast.stmt.ExpressionStmt,51-52;64-67;83;88-89;92-96,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitFieldAccessExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.FieldAccessExpr,68-69;85-90;106;111-112;115-119;124;135-136;139-143;148;159-160,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitFieldAccessExpr_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,534-542;693-699,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitFieldAccessExpr_withObject_returnsClonedNode,com.github.javaparser.ast.expr.ThisExpr,56-57;69-72;77;88;93-94,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForEachStmt_withObject_returnsClonedNode,com.github.javaparser.ast.expr.VariableDeclarationExpr,69-70;121-126;131;142;153;158;163-164;167-171;176-177;180-184;189-190;193-197,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForEachStmt_withObject_returnsClonedNode,com.github.javaparser.ast.stmt.ReturnStmt,50-51;63-66;78;89;100-101,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForEachStmt_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,644-650;726-735;919-925;978-986,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForEachStmt_withObject_returnsClonedNode,com.github.javaparser.ast.stmt.ForEachStmt,60-61;73-78;98;103;108;113-114;117-121;126-127;130-134;139-140;143-147,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForEachStmt_withObject_returnsClonedNode,com.github.javaparser.ast.expr.NameExpr,54-55;72-75;80;91;96-97;100-104,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83;86;89;92;97;101-102;104;107;110;113;117;125-126;552-555;782-785;836-842,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.stmt.ReturnStmt,50-51;63-66;78;89;100-101,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,610-615;919-925;991-1000,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.stmt.ForStmt,82-83;104-110;115;126;131;136;141;146-147;150-154;165;168-172;177-178;181-185;190-191;194-198,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.expr.BooleanLiteralExpr,47-48;60-63;68;83;92-93,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitForStmt_withBlockCommentListContext_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,66-68;126;339-340,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIfStmt_withoutElse_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIfStmt_withoutElse_returnsClonedNode,com.github.javaparser.ast.stmt.ReturnStmt,50-51;63-66;78;89;100-101,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIfStmt_withoutElse_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,610-615;919-925;930-938,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIfStmt_withoutElse_returnsClonedNode,com.github.javaparser.ast.stmt.IfStmt,60-61;73-78;94;99;104;109-110;113-117;128-129;140-141;144-148;200,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIfStmt_withoutElse_returnsClonedNode,com.github.javaparser.ast.expr.BooleanLiteralExpr,47-48;60-63;68;83;92-93,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;101-102;104;107;110;113;117;125-126;598-602;912-918,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.comments.BlockComment,46-47;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.visitor.CloneVisitor,1102-1109,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.ImportDeclaration,96-102;119;164;172;177;182;187-188;197-198;201-205;210-211;245-246,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.ast.expr.Name,61-62,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitImportDeclaration_withBlockComment_returnsEqualButNotSameNode,com.github.javaparser.JavaToken,55-56,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83-84;86;89;92;97;101-102;104;107;110;113;117;121;125-126;327-333;502-507;578-581;607-610,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.comments.BlockComment,46-47;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,547-555;644-650,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.expr.InstanceOfExpr,109-110;126-131;154;177;188;193;253-254;257-261;266-267;278-279;282-286,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.expr.NameExpr,54-55;72-75;80;91;96-97;100-104,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitInstanceOfExpr_withBlockComment_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,126,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIntersectionType_withObject_returnsClonedNode,com.github.javaparser.ast.type.Type,55-56,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIntersectionType_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,368-375,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitIntersectionType_withObject_returnsClonedNode,com.github.javaparser.ast.type.IntersectionType,65-66;73-76;92;97-98;101-105;110,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLabeledStmt_withModifiersContext_returnsClonedNode,com.github.javaparser.ast.stmt.ReturnStmt,50-51;63-66;78;89;100-101,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLabeledStmt_withModifiersContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,849-856;919-925,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLabeledStmt_withModifiersContext_returnsClonedNode,com.github.javaparser.ast.stmt.LabeledStmt,51-52;68-72;88;93-94;97-101;106;111-112;115-119,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLabeledStmt_withModifiersContext_returnsClonedNode,com.github.javaparser.ast.NodeList,66-68;79;339-340,78
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLineComment_withObject_returnsClonedNode,com.github.javaparser.ast.comments.LineComment,58-60,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLineComment_withObject_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,86-91,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLongLiteralExpr_withNullContext_returnsClonedNode,com.github.javaparser.ast.expr.LiteralExpr,49-51,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLongLiteralExpr_withNullContext_returnsClonedNode,com.github.javaparser.ast.visitor.CloneVisitor,580-585,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLongLiteralExpr_withNullContext_returnsClonedNode,com.github.javaparser.ast.expr.LiteralStringValueExpr,52-55;59;64-65;68-70,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitLongLiteralExpr_withNullContext_returnsClonedNode,com.github.javaparser.ast.expr.LongLiteralExpr,55;63-64;71-73,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.visitor.EqualsVisitor,43;46;58;61;65;68;71;74;79;83;86;89;92-93;97;101-102;104;107;110;113;117;125-126;1008-1011;1089-1092,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.expr.MatchAllPatternExpr,55-56;63-66;75;80-81;84-88;94,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.comments.BlockComment,46-47;59-61,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.visitor.CloneVisitor,1254-1259;1373-1379,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.Modifier,138-139;146-149;154;165;170-171;174-176;184,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.Node,384;387,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.NodeList,126;131;541,
com.github.javaparser.ast.visitor.CloneVisitor_ESTest_Adopted_Agentic#visitMatchAllPatternExpr_withModifiers_returnsEqualButNotSame,com.github.javaparser.ast.expr.ComponentPatternExpr,120-122,
